Trecho,Código,Categoria
" é... bom, no caso dos grupos que eu trabalhei, as pessoas são relativamente similares em cada uma dessas partes, em termos de background. Todo mundo trabalha um pouco na parte de coleção de dados, né? Digo, tanto para limpar ou adequar o dado, isso realmente é... acho que todo mundo tem que trabalhar de certa forma com isso.",Todos participam da etapa de Processamento de dados.,Atividade [Processamento de dados]
,Todos participam da Engenharia de atributos.,Atividade [Engenharia de atributos]
"Na parte de Feature Engineering - eu particularmente - na minha equipe estamos trabalhando mais com imagem, então normalmente tem uma galera para tratar os dados, [estes] têm um background de processamento de imagens, gente que estudou isso mais a fundo.",Presença de especialista em processamento de imagem ,Ator [Engeharia de atributos] 
,Engenharia de atributos auxiliada pelo especialista em processamento de imagem.,Atividade [Engenharia de atributos]
"Na parte de modelos, criação de modelos e treinamento de modelos [Model Training] - normalmente mais redes neurais - aí também é a galera que - vamos dizer assim - está mais acostumada com… a mexer com o TensorFlow, mexer com o Keras. Eu normalmente estou nessa parte sempre e acho que seria isso. No meu grupo, acho que seria difícil separar isso assim em pessoas. Acho que essa é a melhor separação que eu consigo fazer.
",Presença do desenvolvedor,Ator [Treino do modelo]
,"Uso de Frameworks para a criação do modelo: TensorFlow, Keras.",Método [Treino do modelo]
,Desenvolvedores atuam com frequência no Treino do modelo,Atividade [Treino do modelo]
"sim, normalmente sim. Tem sempre uma... O grupo como um todo pode até se dividir razoavelmente, mas tipo assim... é possível que uma pessoa só trabalhe do início ao fim em todas essas etapas - ou praticamente do início ao fim - ou o grupo todo se divida, é... para fazer cada um uma parte desse processo, mas no geral, pelo menos todos têm experiência em cada uma das partes desse processo todo.",Unico desenvolvedor participa de todas as etapas.,Limitação [Geral]
,Desenvolvedores diferentes para cada uma das etapas.,Limitação [Geral]
"eu acho que mais no Model Training, Model Evaluation e Data Collection, Cleaning e Labelling. Não exatamente o collection [Data Collection, Cleaning e Labelling], né? Mas vamos dizer assim, é... talvez seja... acho que não no collection, vou botar no engineering [Feature Engineering], porque o dado já foi coletado, mas a gente tem que trabalhar no... na limpeza dele, mas em mais alto nível, então vou colocar no Feature Engineering, Model Training e Model Evaluation.",Desenvolvedor atua apenas na construção do modelo.,Limitação [Geral] 
"é... eu diria que talvez... é complicado... pelo menos para mim. Dificilmente eu pego um modelo com dado pronto, dificilmente eu mexo no dado e não treino o modelo, eu diria que é bem similar mas talvez com um pouco mais de... da parte de modelo, da criação de redes e treinamento de redes.",O desenvolvedor raramente se detem apenas a uma etapa.,Limitação [Geral]
,Entrevistado considera ter mais experiência no Treino do Modelo.,Limitação [Treino do modelo]
"bom, eu tô incluindo nesse... não sei se deveria, mas eu tô incluindo nesse treinamento a parte de... eu não trabalho muito com modelos de ML em geral, eu trabalho com rede neural, então tem a parte de criação do modelo em si, e o treinamento dele.",O Treino do Modelo também inclui a criação dele.,Atividade [Treino do modelo]
"Basicamente, eu começo vendo qual o tamanho do problema, qual tipo de rede eu vou ter que usar, mais ou menos o tamanho dela, se eu vou precisar... se eu consigo usar uma rede que já existe, isso é a primeira coisa para testar, fazer os testes iniciais.",A primeira atividade é analisar o problema e estimar a rede,Atividade [Treino do modelo]
,A princípio tem que verificar se existe alguma rede que possa ser reusada.,Atividade [Treino do modelo]
"Se não rola realmente de cara, parte para tentar desenvolver o modelo que consiga resolver o meu problema. Aí eu diria que existe um loopzinho, design e treinamento, design e treinamento, pra tentar chegar no modelo que resolva o meu problema.",O modelo é criado em um loop design-treino. ,Atividade [Treino do modelo] 
